UPS,AAPL,PFE,CRM,CVS,GOOG,KO,FB,IBM,AMZN
0,25,2,1,0,20,2,14,3,47
3,24,0,1,0,31,1,12,4,67
1,79,0,0,1,6,2,12,5,57
5,43,1,0,0,12,4,9,1,52
7,46,0,4,0,20,1,12,3,38
2,46,0,1,0,18,1,4,1,40
2,27,0,1,0,15,3,8,1,51
2,34,2,2,1,15,3,6,1,72
0,23,0,1,0,12,3,4,3,70
1,19,0,1,0,19,3,6,0,55
2,35,0,1,0,13,1,12,0,60
0,46,0,1,0,5,3,18,2,29
1,30,4,10,1,13,3,16,0,30
1,28,0,8,0,12,1,6,2,29
5,68,0,10,0,14,2,7,2,33
2,26,0,5,0,8,2,7,1,36
2,18,1,1,0,21,3,8,5,54
12,44,0,6,0,19,2,7,0,43
0,69,0,2,0,9,4,8,2,56
1,48,0,2,0,13,2,9,0,34
0,33,0,0,0,13,2,11,1,26
1,67,0,3,0,11,1,8,2,28
0,41,1,1,0,12,2,4,0,43
0,34,0,2,1,9,1,7,5,39
0,35,0,4,0,20,1,5,1,47
0,49,0,2,1,17,3,8,1,28
1,38,0,1,0,15,4,58,1,22
0,40,0,1,1,2,2,25,2,37
1,33,0,0,0,14,1,17,2,48
0,29,0,2,0,4,6,9,1,31
0,32,0,3,0,18,2,13,0,26
0,26,0,2,0,9,2,13,2,34
2,31,0,3,0,7,1,7,0,28
0,70,1,4,0,18,1,8,3,50
1,28,0,2,2,12,4,16,2,58
1,29,0,6,0,18,2,9,0,25
1,23,0,7,0,7,1,6,2,27
0,28,0,2,2,10,3,5,0,40
3,27,0,2,0,10,5,4,1,28
0,28,1,1,0,16,7,10,0,33
1,26,2,2,0,10,7,11,5,33
0,24,0,0,0,4,16,19,2,44
0,19,0,1,0,11,8,23,2,35
1,22,0,6,0,11,7,6,2,30
1,17,1,0,0,16,6,3,0,33
0,34,0,1,0,21,6,10,3,26
0,27,1,0,0,11,5,16,0,39
0,23,1,2,0,6,6,8,1,36
1,27,1,0,0,12,6,11,0,24
0,10,2,1,0,15,76,6,22,41
0,18,0,0,1,4,5,12,11,27
0,20,0,0,0,12,48,4,2,21
0,57,0,0,0,8,10,10,2,32
1,29,0,2,1,7,13,7,2,22
0,16,0,2,0,18,31,4,3,28
1,19,0,1,0,7,58,12,1,37
0,21,0,3,0,15,20,4,1,20
1,24,0,0,0,18,10,6,3,28
0,13,0,1,0,10,6,10,4,16
0,25,1,1,0,14,13,9,3,27
0,21,0,5,0,9,3,8,1,34
1,19,2,2,0,14,7,2,6,42
8,18,1,1,1,17,11,8,2,41
125,16,2,3,0,13,17,5,2,32
117,25,0,3,0,13,7,12,3,20
109,21,0,1,0,14,4,7,5,25
125,19,1,2,0,16,15,17,3,28
62,9,1,3,1,9,10,12,2,37
48,17,0,2,1,15,3,9,2,14
6,19,0,0,0,13,5,9,1,20
4,16,0,1,1,11,4,7,3,44
5,14,0,2,0,10,3,7,2,82
11,13,1,2,0,16,4,8,2,60
3,15,0,1,0,12,3,6,17,37
7,13,0,1,2,15,3,12,6,34
7,27,0,2,0,11,3,6,3,19
6,27,0,2,0,15,4,5,4,19
3,24,0,0,0,13,1,7,6,14
7,20,0,0,0,5,5,5,2,45
1,20,1,1,0,21,4,4,2,37
10,23,0,1,0,19,4,12,2,32
6,19,1,0,0,16,3,7,4,43
3,20,2,5,0,19,62,11,3,24
5,39,1,0,0,7,84,6,2,32
7,25,0,1,0,6,22,9,2,41
87,54,0,2,0,25,8,17,1,49
119,27,0,3,2,12,5,9,3,30
127,25,0,2,0,13,7,5,1,32
102,20,0,0,0,15,11,9,1,31
94,30,0,3,0,11,12,7,5,42
57,33,0,1,0,8,4,2,9,28
21,36,2,1,0,25,7,13,5,41
6,32,0,0,0,20,5,11,6,34
6,24,1,1,0,21,7,9,3,35
15,34,0,4,0,10,9,9,5,27
6,26,0,0,0,14,5,5,4,25
7,26,0,5,0,12,6,23,2,24
5,32,0,3,0,24,6,13,2,34
9,29,0,3,0,11,11,22,5,27
1,63,1,2,1,32,3,20,6,46
1,34,0,2,0,16,5,21,1,65
0,32,0,1,0,17,2,20,4,54
2,48,1,4,1,15,11,12,4,68
1,35,0,2,0,16,6,12,3,54
2,31,0,2,0,21,8,6,3,64
1,45,1,4,0,15,4,13,4,40
0,44,0,2,0,19,12,13,9,57
0,48,3,3,1,15,4,21,4,60
2,30,0,1,3,12,10,16,3,57
2,53,0,7,0,20,6,14,3,47
0,28,2,3,0,26,6,8,3,52
2,36,4,1,0,26,7,7,4,64
2,55,0,2,0,17,9,12,8,65
1,41,0,4,0,31,27,10,5,41
5,36,0,2,0,24,193,8,11,51
2,27,4,6,0,24,56,12,5,75
3,27,3,4,0,25,35,15,3,62
1,40,3,5,0,23,32,16,3,60
1,42,2,3,1,26,26,14,5,54
3,37,5,2,0,24,23,13,4,68
3,36,9,0,0,25,32,11,4,66
3,37,5,3,0,30,25,10,7,85
0,35,3,7,0,25,32,16,11,96
4,33,3,12,0,18,17,16,3,82
0,37,4,2,2,32,15,23,8,75
1,41,3,6,0,21,22,15,8,56
2,56,8,3,0,23,17,17,8,47
2,85,1,2,0,19,20,22,4,59
3,62,1,5,0,30,21,25,12,81
0,46,1,9,0,31,11,19,8,69
2,62,2,7,0,30,12,31,8,71
3,39,4,8,1,28,11,14,17,51
2,52,3,6,1,19,15,13,12,42
0,47,0,4,0,18,11,15,11,89
5,32,7,2,1,33,14,11,9,117
3,39,2,2,0,34,12,18,13,80
2,54,2,9,0,37,18,31,13,67
2,45,3,4,1,38,7,21,11,51
5,61,1,9,1,41,9,17,18,77
5,66,8,7,0,36,11,15,15,64
7,59,0,5,0,28,9,20,12,68
10,41,5,6,0,27,10,8,14,62
5,76,1,9,0,31,8,20,14,62
3,48,3,7,0,23,13,13,17,79
4,58,1,2,0,27,8,22,8,74
32,26,1,5,0,18,12,10,16,59
110,33,1,5,0,19,8,15,9,67
147,38,0,1,0,25,6,16,2,77
115,37,0,4,0,29,9,22,8,65
106,57,0,1,1,23,15,18,9,54
72,40,2,4,1,23,12,13,9,62
30,40,0,2,1,38,18,15,5,61
10,49,3,2,2,32,24,18,8,78
13,77,3,3,0,24,14,17,8,55
11,84,4,5,1,33,14,22,14,92
10,52,5,2,0,47,7,26,15,85
13,63,2,5,0,28,11,17,8,90
9,48,3,6,0,44,7,15,9,92
9,44,3,6,0,30,5,20,3,60
11,57,2,5,0,31,3,22,9,102
9,66,4,5,1,36,13,39,6,62
12,39,2,3,1,23,12,37,8,74
15,51,2,0,0,22,8,30,8,84
8,42,4,1,0,23,7,13,3,187
15,63,1,6,0,21,5,27,12,152
7,49,0,2,0,23,8,29,10,76
5,68,2,5,0,37,9,25,20,77
5,45,1,7,0,21,8,23,7,70
3,48,1,14,0,25,14,18,6,65
10,57,3,16,1,36,8,16,5,60
9,46,5,11,0,20,10,26,4,57
6,55,2,5,0,31,4,25,7,68
7,57,1,9,0,18,109,36,8,61
5,39,2,4,2,20,85,36,9,64
3,55,5,12,0,22,37,26,16,65
6,51,1,4,0,21,29,26,8,67
8,57,1,4,0,17,26,25,11,61
5,64,1,3,0,73,22,21,9,69
9,93,0,6,1,25,34,23,15,86
3,82,0,6,0,42,28,34,3,64
6,64,2,9,1,31,24,29,11,83
3,62,1,11,0,34,15,23,9,79
4,47,2,4,0,40,15,24,7,41
10,43,1,5,0,13,17,17,6,88
6,52,5,10,0,24,16,13,7,79
3,42,1,3,0,30,21,12,6,45
5,56,3,4,1,32,28,14,2,50
10,26,4,14,0,26,32,15,6,74
10,24,4,3,0,27,25,14,12,71
6,35,1,8,0,32,21,28,9,72
3,50,5,10,0,23,30,28,4,82
3,37,1,4,0,40,10,20,8,85
3,52,1,5,0,50,13,19,7,65
3,39,4,7,0,75,12,16,5,71
3,58,2,3,0,61,17,17,8,53
1,47,10,1,1,43,21,21,4,44
2,47,0,3,1,52,14,15,5,37
5,48,9,5,1,55,12,19,15,61
3,52,2,7,0,56,11,13,12,69
2,52,8,7,0,43,11,21,12,85
5,58,12,2,0,38,5,16,15,52
6,81,8,2,0,49,11,13,10,62
10,90,17,3,2,134,7,14,4,64
5,39,9,3,0,54,5,8,19,54
4,39,12,2,0,68,9,15,6,72
3,35,9,12,0,276,22,16,7,63
3,30,6,3,0,157,14,12,8,32
3,43,4,5,0,452,9,17,2,36
4,49,7,4,0,295,20,17,6,50
1,25,3,7,1,94,8,16,9,38
4,24,3,3,0,224,5,4,15,56
4,28,6,3,0,94,10,14,10,57
2,34,11,3,0,227,14,15,12,97
6,91,6,5,3,78,20,9,8,53
4,86,5,9,2,411,12,30,13,55
1,100,1,0,1,327,9,30,6,39
5,63,6,3,1,210,7,17,7,59
4,30,5,11,0,141,12,31,6,63
7,31,5,3,0,73,6,14,5,73
2,43,5,5,2,128,16,12,11,80
3,40,4,4,0,268,22,22,13,119
7,34,0,2,0,29,6,21,10,68
4,51,4,5,0,14,5,11,4,59
1,33,1,3,0,17,11,19,8,71
1,21,3,2,1,18,9,13,2,38
1,67,6,1,1,16,8,13,8,45
2,133,4,4,1,26,15,13,5,58
2,76,5,4,3,27,10,25,5,55
6,99,4,1,0,15,3,20,4,66
3,76,3,5,0,21,11,15,2,42
5,43,4,2,0,16,15,22,2,50
2,43,3,1,2,16,3,17,2,62
5,60,4,2,0,33,10,20,6,65
5,43,5,3,1,27,14,13,6,50
5,47,3,6,0,14,9,20,3,42
4,45,3,2,0,13,7,11,4,27
1,48,2,2,0,34,5,15,2,51
1,44,2,2,0,21,9,14,6,52
8,51,5,1,3,31,5,19,3,47
4,49,2,1,1,14,6,19,4,63
1,39,7,4,0,20,3,11,3,51
1,34,4,7,0,27,6,13,0,57
6,23,4,7,1,31,7,15,5,62
2,35,5,3,2,22,9,13,2,60
4,39,1,1,0,21,6,18,0,43
3,37,3,2,1,9,5,13,9,51
1,47,0,3,3,23,5,19,5,57
2,56,0,3,0,22,5,24,6,50
8,58,6,4,1,9,2,29,7,38
2,86,3,2,0,23,4,40,1,35
0,66,7,0,0,11,4,56,2,50
1,41,2,0,2,22,4,56,6,46
2,77,1,4,1,13,2,55,7,67
3,51,0,1,4,15,9,40,4,45
2,41,2,2,1,11,13,26,2,42
2,46,1,5,0,11,3,25,3,34
6,54,2,5,0,11,5,16,3,33
3,53,0,2,1,14,1,18,17,34
2,34,2,0,1,21,6,12,2,37
4,53,1,0,0,9,9,12,1,54
4,72,1,1,0,15,4,16,8,47
1,55,3,6,0,12,3,8,3,29
5,39,2,1,0,10,4,21,2,136
6,36,3,0,0,12,30,13,11,138
5,38,1,0,2,19,32,12,5,107
3,51,1,1,0,15,7,18,5,100
2,31,1,2,1,12,7,13,2,103
130,15,1,1,0,12,16,15,4,66
140,45,0,2,1,12,12,13,0,80
148,42,2,0,2,7,9,19,2,64
147,2365,1,1,0,9,4,6,0,82
111,1088,3,3,0,10,2,11,0,62
56,710,2,1,0,12,8,4,4,64
11,451,0,2,0,21,6,14,2,80
7,369,0,5,1,12,5,9,10,56
5,232,1,0,0,16,6,10,2,53
9,189,1,2,2,13,6,9,5,60
8,149,0,2,1,7,3,9,1,65
8,126,5,2,1,12,7,14,2,54
14,106,3,2,1,24,3,14,0,53
10,88,3,2,1,11,7,7,0,30
14,489,0,1,0,15,3,13,1,48
6,357,1,2,0,10,3,11,1,56
10,61,0,4,4,8,2,10,2,51
14,70,2,1,0,7,1,7,7,56
2,62,6,3,0,8,3,10,6,51
0,55,0,4,0,20,6,12,2,55
2,37,1,1,1,12,2,20,6,48
2,61,4,1,1,12,3,24,4,67
3,60,2,1,0,7,4,60,0,85
1,39,4,1,1,4,9,18,5,51
2,21,3,1,0,5,7,17,3,50
0,39,3,5,0,5,4,8,5,59
5,50,2,0,1,20,1,11,8,67
1,29,1,0,1,17,7,7,4,29
2,34,1,0,0,15,1,7,4,36
1,42,2,0,0,12,1,12,7,35
0,26,1,0,0,8,6,9,4,40
0,45,2,1,0,12,7,13,5,46
0,30,1,0,1,11,5,15,5,57
3,35,1,0,0,7,1,19,3,48
1,35,1,0,0,10,1,9,2,44
3,22,1,0,1,10,2,4,6,33
0,28,1,3,0,13,1,6,5,33
1,21,0,0,0,8,6,7,0,42
1,18,0,1,0,10,5,3,1,48
2,25,0,1,0,3,5,5,1,36
0,39,1,2,1,14,2,7,3,43
2,22,0,0,0,11,6,3,6,32
3,27,0,0,0,8,6,4,5,32
1,43,0,2,1,14,2,7,0,36
3,36,1,1,0,12,6,3,7,35
7,28,1,0,0,6,11,5,6,37
7,23,2,0,0,6,2,2,2,28
7,14,1,1,0,1,0,8,3,20
6,24,3,1,1,10,1,11,1,30
7,24,4,0,1,7,4,12,3,23
7,29,0,0,0,15,1,4,0,18
5,20,1,0,0,8,11,4,1,24
1,15,0,1,0,7,4,9,1,26
4,24,1,0,0,14,7,6,3,39
4,22,0,1,0,8,2,6,6,31
0,29,0,0,0,5,3,7,3,38
3,26,1,1,1,17,4,6,4,29
1,58,1,4,0,8,7,4,2,17
1,50,1,4,0,7,0,5,1,27
2,52,0,3,0,4,2,4,2,30
5,78,0,0,0,8,5,8,2,21
1,66,2,0,1,5,5,6,2,14
1,22,1,3,0,6,4,5,6,24
3,15,0,0,0,3,0,12,3,31
2,21,0,2,0,10,4,6,4,35
0,20,1,1,0,8,2,6,8,51
2,24,0,0,0,10,1,4,1,41
4,21,0,0,0,13,2,5,2,41
4,17,0,0,0,9,2,7,3,33
2,31,1,1,0,7,0,4,3,31
0,33,2,1,0,6,7,5,1,31
1,36,0,1,0,10,1,6,2,11
1,18,0,0,0,3,3,8,1,17
0,28,1,1,0,7,3,7,0,40
2,40,0,1,0,8,4,5,0,30
3,30,0,0,0,5,4,5,1,32
1,19,0,1,0,5,2,3,3,34
0,34,1,0,0,7,7,5,4,26
1,50,1,0,1,9,5,17,4,50
1,39,1,0,1,7,7,7,2,47
1,36,1,0,0,9,8,4,4,57
2,26,3,0,0,11,8,8,5,27
1,40,1,0,1,4,8,4,2,34
1,39,1,0,0,4,10,6,0,26
0,22,0,0,0,5,9,5,0,23
0,26,0,0,0,6,7,8,4,17
0,31,1,2,0,4,15,7,0,17
15,30,2,2,0,4,5,6,5,11
35,29,2,2,2,10,8,5,1,27
50,1241,1,0,0,3,6,6,2,25
30,1843,1,4,0,9,4,6,7,22
18,458,0,1,1,6,8,6,4,37
94,2361,1,6,2,8,6,10,2,22
146,482,1,5,1,4,4,11,4,38
152,29,0,1,0,10,5,7,2,61
153,24,0,5,0,6,0,11,3,47
119,28,1,3,0,10,3,19,3,43
75,25,0,5,0,6,4,1,6,28
18,28,1,1,2,5,4,10,2,43
5,41,0,2,0,8,8,3,2,49
8,43,0,2,0,6,8,4,2,49
10,38,0,3,0,4,3,7,3,61
6,52,0,12,0,11,4,11,8,47
6,49,2,18,2,7,6,46,3,50
8,46,1,8,1,8,9,6,5,35
5,47,1,2,1,9,13,6,7,31
3,71,1,6,1,7,19,8,6,41
7,23,0,2,0,3,11,14,0,26
7,27,1,2,0,2,12,4,4,39
13,32,1,2,0,8,22,4,4,36
5,21,0,1,0,10,27,6,2,22
8,30,2,3,0,14,22,8,7,29
3,21,4,8,0,10,21,5,3,44
4,24,0,2,0,4,20,11,4,35
0,31,1,3,0,4,5,1,4,34
6,40,0,3,0,6,17,6,0,49
10,26,0,8,0,4,3,9,1,35
5,15,2,3,0,6,7,8,3,31
4,23,0,4,0,6,19,5,8,21
4,20,0,5,0,7,15,8,1,22
2,35,3,6,0,18,17,6,5,37
0,37,0,7,1,14,25,12,6,30
0,47,6,5,1,19,30,7,10,30
0,53,0,5,0,6,32,5,2,45
0,57,3,1,0,5,42,10,3,48
0,53,0,9,0,9,10,11,1,44
0,22,1,5,0,9,19,11,8,42
2,30,1,2,0,9,21,17,7,46
0,25,3,1,0,14,9,16,1,32
1,34,1,2,0,7,11,9,8,31
0,28,0,3,0,4,30,9,5,63
1,25,0,2,0,9,25,4,3,63
0,26,1,0,0,10,8,8,12,46
3,32,0,2,0,5,8,9,5,52
1,39,0,3,0,7,20,12,8,51
4,26,2,3,0,8,18,8,8,54
9,35,1,3,0,7,14,11,10,47
2,36,1,1,0,9,15,7,9,46
5,25,4,3,0,11,6,7,13,39
2,31,2,1,1,18,15,6,4,49
3,44,0,1,2,26,6,7,8,54
1,72,0,3,0,14,5,11,9,40
5,43,0,1,0,10,7,11,11,50
2,40,0,2,0,18,4,7,15,61
0,24,2,3,0,16,8,6,12,51
2,31,2,1,0,18,15,6,8,53
2,35,3,0,2,31,9,11,9,52
4,23,1,0,0,13,8,3,10,41
2,20,3,1,0,17,19,9,13,68
0,38,0,1,0,16,6,8,6,53
2,43,1,1,0,10,10,9,5,49
1,39,3,2,0,12,2,4,7,54
4,42,0,1,0,10,5,22,2,65
3,48,1,0,0,10,5,7,7,53
3,41,0,0,0,8,5,7,14,55
4,57,1,1,0,21,5,15,5,51
3,34,1,3,0,10,9,9,12,68
3,55,1,4,0,9,12,16,15,68
4,48,2,2,0,10,13,7,11,75
4,51,1,2,3,19,18,12,15,72
2,50,0,3,0,9,19,13,11,80
2,35,2,4,0,17,45,7,14,69
4,35,0,2,0,11,13,13,12,110
0,56,2,4,0,10,8,15,4,87
1,22,0,1,0,10,12,8,6,59
1,42,2,0,0,13,11,17,16,58
1,30,1,8,1,9,15,7,5,64
0,58,1,4,0,11,3,11,14,69
4,36,6,1,1,11,8,18,10,69
4,38,2,1,0,9,3,10,13,57
2,29,2,2,0,7,8,17,5,74
1,28,0,5,0,10,0,15,9,84
4,34,1,3,1,11,5,13,9,68
1,62,0,6,0,6,6,27,7,75
0,56,0,6,0,23,6,30,6,55
3,59,1,5,0,12,10,21,7,77
0,48,0,2,0,16,10,15,4,70
1,39,1,2,0,22,12,17,3,64
0,35,1,3,0,25,3,12,4,74
2,50,2,1,0,24,8,10,10,54
2,40,2,5,0,178,4,8,15,73
1,62,2,10,1,287,9,19,11,53
0,41,2,2,0,164,9,13,8,52
42,40,0,1,2,135,5,10,6,45
151,34,3,6,0,111,11,19,4,46
141,49,1,2,0,78,25,13,7,48
152,31,0,4,0,68,63,12,2,48
125,42,1,7,0,65,6,26,3,59
98,43,2,3,0,66,6,5,5,44
36,35,1,4,0,50,9,4,5,49
10,29,1,7,0,52,10,16,7,40
13,26,1,1,2,57,7,15,2,69
3,22,0,4,2,47,21,7,4,63
5,41,1,3,0,34,7,14,6,63
9,36,1,6,0,47,7,16,3,47
4,39,0,2,0,30,13,14,1,37
6,51,0,0,1,30,7,17,1,73
3,54,2,0,1,35,11,14,3,73
9,37,1,1,0,39,5,20,3,52
6,30,0,1,0,165,3,14,3,81
2,87,2,0,0,264,0,14,16,56
9,87,0,1,1,28,3,18,10,37
10,72,1,4,0,36,7,16,5,45
6,47,1,7,0,41,5,10,10,38
7,94,1,1,1,35,14,21,11,58
3,104,2,2,0,28,9,10,9,63
6,45,1,3,0,16,8,17,5,69
6,62,1,3,0,23,7,12,4,69
9,73,1,1,0,23,2,10,10,63
4,72,0,2,2,20,5,22,7,64
7,43,0,0,0,20,10,27,11,52
2,60,3,3,0,21,8,23,2,65
3,23,1,1,0,32,9,15,2,205
5,50,2,1,2,21,7,28,6,150
6,29,1,2,0,23,8,4,11,97
6,29,1,1,0,14,7,15,6,82
2,23,2,1,0,26,13,12,6,73
4,43,1,3,0,11,5,114,5,49
2,78,1,10,0,24,7,101,2,55
1,161,1,4,0,19,7,38,7,60
1,123,0,5,0,14,9,14,6,38
1,164,2,2,1,240,9,12,7,58
2,159,2,2,0,92,19,13,2,52
3,135,0,1,0,29,10,19,3,54
2,75,2,2,0,34,6,17,0,46
1,41,1,7,0,16,9,7,8,36
2,39,0,4,0,14,4,10,16,45
0,62,1,1,0,20,8,10,4,44
2,40,0,1,0,14,7,15,3,31
3,35,3,3,0,13,6,14,2,47
0,74,0,1,0,18,11,8,4,43
7,111,0,1,0,22,7,12,4,37
143,99,0,1,1,12,19,7,12,45
151,53,4,3,1,25,32,9,3,57
160,35,1,0,1,10,22,9,3,148
139,46,0,1,0,13,22,13,0,85
98,29,2,0,0,20,16,4,4,83
36,21,4,2,0,19,12,12,2,78
2,36,2,3,0,12,13,10,2,52
0,32,0,9,0,18,11,4,4,51
2,30,1,4,0,16,7,10,4,44
0,49,1,3,0,30,16,8,6,45
1,75,1,2,0,17,13,6,4,43
1,27,0,3,0,11,42,5,1,65
2,27,1,2,1,36,34,35,2,58
27,41,0,2,0,14,10,7,1,46
11,37,0,2,0,19,15,10,3,49
9,44,0,1,0,13,36,8,2,74
3,28,0,1,0,19,10,14,6,56
4,28,1,0,0,22,10,10,4,57
2,30,0,1,0,21,4,8,8,55
5,26,1,3,0,19,5,6,8,41
3,85,0,1,1,16,8,14,2,44
4,54,1,1,0,12,11,19,7,83
1,51,0,2,0,15,6,14,4,88
1,62,3,0,0,20,12,5,4,86
2,114,1,3,0,16,9,11,4,48
0,85,1,1,0,12,7,19,6,36
0,49,2,4,2,13,20,26,2,53
1,94,0,0,0,17,11,17,5,57
2,75,1,0,1,13,7,13,4,70
0,59,0,0,0,7,11,12,1,67
0,60,2,4,0,12,8,8,4,82
0,59,0,6,0,19,9,14,1,58
1,29,1,3,0,6,10,9,1,47
4,41,3,2,0,11,3,14,2,66
0,49,0,1,0,12,4,9,0,50
1,57,0,1,0,18,6,10,1,65
1,52,0,2,0,15,6,12,0,60
0,33,2,0,0,9,2,6,0,63
3,25,0,1,0,14,6,6,3,71
0,40,0,2,0,10,7,15,3,72
2,34,2,2,0,13,6,7,2,45
1,38,1,0,1,12,4,5,4,44
0,26,0,1,0,14,3,5,3,40
0,25,1,3,0,12,4,4,2,35
1,15,0,1,0,4,1,10,5,36
1,42,2,3,0,7,5,6,4,40
3,48,0,0,0,5,3,8,0,43
0,28,0,4,0,14,4,11,0,60
2,29,2,0,0,4,7,7,5,70
0,22,1,0,0,13,3,9,17,74
0,39,2,1,1,13,7,5,10,65
2,51,1,2,0,11,5,13,2,52
0,39,1,0,0,10,3,9,17,33
0,28,1,0,0,15,2,17,1,61
0,54,1,1,0,13,3,9,4,44
0,33,0,0,0,7,3,3,0,49
0,29,1,1,0,4,7,12,2,37
0,20,0,0,0,6,9,4,9,61
0,35,0,1,0,10,6,4,2,45
0,25,1,0,0,11,6,3,1,57
0,31,0,1,0,8,3,3,0,34
1,27,1,0,0,11,11,4,1,46
1,36,0,1,0,4,8,8,2,43
0,19,1,5,0,14,6,5,1,35
0,29,2,2,0,10,4,6,0,40
0,31,1,2,0,8,2,7,1,30
0,31,0,0,0,10,5,5,4,24
2,16,2,0,0,11,1,7,0,41
0,25,0,1,0,8,4,2,2,37
1,63,0,0,0,8,5,7,5,38
0,48,0,1,0,7,0,8,0,29
1,27,0,1,1,8,1,5,2,37
2,21,1,0,0,4,4,8,1,29
0,35,2,1,0,12,4,12,4,45
1,13,1,2,0,13,0,5,4,37
0,43,2,2,0,13,0,4,3,44
0,24,1,3,0,10,6,46,1,56
0,23,1,6,0,12,0,29,2,28
0,28,0,0,0,9,2,24,8,43
0,18,0,2,0,12,4,37,0,44
1,24,0,0,0,7,3,31,1,45
0,21,0,1,0,8,5,36,2,40
1,22,2,1,0,20,7,33,0,36
0,23,1,0,0,5,4,17,0,47
0,23,1,0,0,16,7,7,5,42
0,11,1,0,0,12,2,14,2,61
0,16,1,0,0,7,2,2,5,51
0,8,3,2,0,8,6,7,0,68
0,11,2,3,0,10,3,5,2,73
0,14,0,8,0,16,3,7,1,54
0,23,1,1,0,7,2,7,7,43
1,11,1,3,0,7,7,11,1,50
0,16,1,2,0,13,7,3,4,48
0,14,0,0,1,10,5,4,5,36
2,13,1,1,0,5,4,7,2,48
1,16,2,1,0,6,3,5,3,47
3,14,2,0,2,10,8,4,0,44
15,21,4,0,0,7,3,4,2,42
14,26,0,4,1,14,0,6,1,43
12,38,1,0,0,5,4,5,1,40
7,30,1,0,0,7,5,7,0,62
1,29,0,1,0,3,9,6,3,54
1,19,1,0,0,8,4,4,5,36
0,26,1,0,0,6,1,5,3,34
0,18,0,0,0,9,3,4,1,42
2,28,0,1,0,11,4,1,4,37
2,11,0,1,0,11,6,3,0,30
2,10,0,1,0,5,9,6,3,48
1,13,0,1,0,3,2,2,2,31
2,7,1,0,0,5,3,6,0,39
3,20,0,3,0,4,4,3,1,27
2,41,0,0,0,15,2,5,2,24
1,12,0,1,0,7,3,4,1,20
1,13,0,0,0,8,4,10,2,53
1,24,0,1,0,5,3,15,4,25
0,9,0,2,0,4,2,5,0,36
0,7,0,0,0,8,2,2,1,26
0,20,0,0,0,5,4,4,2,15
0,46,0,1,0,11,0,6,1,15
1,48,0,1,0,14,2,5,2,13
0,44,1,1,0,5,3,10,1,14
0,53,0,0,0,5,4,3,0,25
0,45,0,0,0,11,1,8,2,25
0,23,0,2,0,12,4,2,3,23
0,7,0,2,0,4,4,12,0,30
0,7,1,2,1,12,4,9,6,19
0,10,0,1,0,9,3,6,9,19
1,15,1,0,0,2,4,2,2,14
0,12,1,0,0,10,3,5,4,20
0,8,0,0,0,6,1,4,5,22
0,19,0,2,0,2,1,2,1,17
0,22,0,0,0,8,6,6,0,24
0,43,0,1,0,11,9,5,3,19
0,56,0,0,0,7,2,4,0,26
0,31,0,2,0,6,9,3,3,40
1,25,0,0,0,11,5,1,2,23
1,9,0,2,0,2,3,1,3,40
0,13,0,1,0,8,2,3,4,32
0,11,1,1,0,7,6,7,4,50
0,19,0,1,0,6,9,5,1,34
0,9,0,2,0,9,2,2,1,37
0,18,0,0,0,7,3,1,2,28
0,7,1,1,0,2,5,0,0,14
0,19,1,0,0,8,1,6,4,20
0,12,2,0,0,7,3,5,2,18
0,5,0,0,0,15,1,6,3,17
0,7,0,1,0,5,1,1,0,21
0,24,0,0,0,32,9,3,3,20
2,19,0,0,0,29,5,8,1,28
0,9,1,2,0,29,4,9,3,26
0,12,0,2,0,15,4,5,6,25
0,10,0,1,0,14,7,4,3,15
0,18,1,0,0,21,0,7,4,11
0,16,2,1,0,26,5,5,2,26
0,5,0,3,0,18,3,5,0,32
0,18,0,1,0,17,5,2,1,25
0,21,2,0,0,24,9,5,3,25
0,11,0,0,0,18,7,5,2,34
1,20,0,2,0,9,8,4,0,40
0,31,0,1,0,10,10,10,1,25
0,12,0,0,0,9,4,6,1,13
0,18,0,1,0,9,1,5,2,25
0,11,2,0,0,22,0,6,8,21
0,12,0,1,0,12,1,6,1,17
0,11,0,0,0,12,4,6,2,31
0,17,0,3,0,13,0,5,1,41
0,11,1,4,0,10,3,5,2,39
0,10,0,1,0,9,3,4,2,36
0,19,0,0,0,9,3,5,1,43
0,18,0,1,0,5,3,5,0,43
0,9,0,1,0,13,1,4,1,33
0,32,0,1,0,5,6,9,1,29
0,18,1,2,0,13,8,9,1,51
0,20,0,1,0,6,4,11,2,35
0,17,0,0,0,9,5,12,5,45
0,49,1,1,0,10,3,4,5,55
0,14,0,0,0,10,2,3,2,59
0,17,0,1,0,9,6,4,3,67
0,19,0,3,0,6,10,9,3,46
0,23,0,0,1,15,2,4,0,67
0,20,0,2,0,7,1,2,2,56
0,48,1,3,0,7,7,7,2,39
0,29,1,0,0,24,1,8,3,45
21,28,2,0,0,29,1,9,1,39
12,30,0,1,0,21,3,8,1,45
0,26,0,0,0,14,3,6,2,49
0,46,0,1,0,12,7,9,7,61
0,43,0,0,0,11,7,8,1,49
0,73,0,0,0,9,4,5,2,43
0,45,0,8,0,15,8,10,2,46
0,75,0,2,0,11,5,8,6,76
3,139,0,4,0,10,9,7,5,77
1,64,3,0,0,7,9,6,1,96
1,58,2,2,1,3,6,5,1,64
1,45,2,0,0,10,9,12,2,40
1,35,7,5,0,12,7,4,2,60
1,38,0,0,0,6,3,8,4,56
2,25,1,4,0,15,11,6,0,41
